time, ref, y_nom_1, y_nom_2,y_nom_3,y_nom_4,y_nom_5,y_nom_6, y_nom_7,y_nom_8,y_nom_9,y_nom_10,y_nom_11,y_nom_12,y_nn_1, y_nn_2,y_nn_3,y_nn_4,y_nn_5,y_nn_6,y_nn_7,y_nn_8,y_nn_9, y_nn_10,y_nn_11,y_nn_12,u_nn_1, u_nn_2, u_nn_3,u_nn_4,u_nom_1,u_nom_2,u_nom_3,u_nom_4
0.00000, 0.83511, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 22.08508,-0.00000, -0.00000, 0.00000, 22.13591, 0.00000,0.00000, 0.00000 
0.01000, 0.83511, 0.00000, 0.00000, 0.00030, 0.00000, 0.00000, -0.05901, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.00030,0.00000, 0.00000, -0.05941, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 21.90509,-0.00000, -0.00000, 0.00000, 21.96589, 0.00000,0.00000, 0.00000 
0.02000, 0.83511, 0.00000, 0.00000, 0.00118, 0.00000, 0.00000, -0.11673, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.00118,0.00000, 0.00000, -0.11759, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 21.72315,-0.00000, -0.00000, 0.00000, 21.79326, 0.00000,0.00000, 0.00000 
0.03000, 0.83511, 0.00000, 0.00000, 0.00263, 0.00000, 0.00000, -0.17314, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.00265,0.00000, 0.00000, -0.17453, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 21.53941,-0.00000, -0.00000, 0.00000, 21.61823, 0.00000,0.00000, 0.00000 
0.04000, 0.83511, 0.00000, 0.00000, 0.00463, 0.00000, 0.00000, -0.22823, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.00467,0.00000, 0.00000, -0.23022, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 21.35406,-0.00000, -0.00000, 0.00000, 21.44103, 0.00000,0.00000, 0.00000 
0.05000, 0.83511, 0.00000, 0.00000, 0.00719, 0.00000, 0.00000, -0.28199, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.00725,0.00000, 0.00000, -0.28463, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 21.16725,-0.00000, -0.00000, 0.00000, 21.26186, 0.00000,0.00000, 0.00000 
0.06000, 0.83511, 0.00000, 0.00000, 0.01027, 0.00000, 0.00000, -0.33441, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.01036,0.00000, 0.00000, -0.33776, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 20.97915,-0.00000, -0.00000, 0.00000, 21.08090, 0.00000,0.00000, 0.00000 
0.07000, 0.83511, 0.00000, 0.00000, 0.01387, 0.00000, 0.00000, -0.38549, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.01400,0.00000, 0.00000, -0.38958, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 20.78991,-0.00000, -0.00000, 0.00000, 20.89834, 0.00000,0.00000, 0.00000 
0.08000, 0.83511, 0.00000, 0.00000, 0.01797, 0.00000, 0.00000, -0.43521, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.01815,0.00000, 0.00000, -0.44010, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 20.59970,-0.00000, -0.00000, 0.00000, 20.71434, 0.00000,0.00000, 0.00000 
0.09000, 0.83511, 0.00000, 0.00000, 0.02257, 0.00000, 0.00000, -0.48357, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.02279,0.00000, 0.00000, -0.48930, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 20.40868,-0.00000, -0.00000, 0.00000, 20.52908, 0.00000,0.00000, 0.00000 
