No, time, ref, y_nom, y_nn, u_nom, u_nn
1, 0.00000, 0.12500, 27.86844, 27.89712, 0.00000, 0.00000 
2, 0.02000, 0.12500, -17.67268, -17.65410, 0.00550, 0.00551 
3, 0.04000, 0.12500, 17.14580, 17.22053, 0.01270, 0.01241 
4, 0.06000, 0.12500, -10.24839, -10.17301, 0.01951, 0.01873 
5, 0.08000, 0.12500, 10.57844, 10.70377, 0.02729, 0.02576 
6, 0.10000, 0.12500, -5.91021, -5.76751, 0.03475, 0.03228 
7, 0.12000, 0.12500, 6.54011, 6.72642, 0.04268, 0.03906 
8, 0.14000, 0.12500, -3.38864, -3.17830, 0.05027, 0.04537 
9, 0.16000, 0.12500, 4.05247, 4.29861, 0.05797, 0.05165 
10, 0.18000, 0.12500, -1.92534, -1.65559, 0.06528, 0.05747 
11, 0.20000, 0.12500, 2.52478, 2.82117, 0.07245, 0.06309 
12, 0.22000, 0.12500, -1.06950, -0.75462, 0.07919, 0.06825 
13, 0.24000, 0.12500, 1.59815, 1.92972, 0.08563, 0.07312 
14, 0.26000, 0.12500, -0.55535, -0.21307, 0.09159, 0.07755 
15, 0.28000, 0.12500, 1.05249, 1.40138, 0.09716, 0.08164 
16, 0.30000, 0.12500, -0.22822, 0.12252, 0.10223, 0.08533 
17, 0.32000, 0.12500, 0.75101, 1.09878, 0.10686, 0.08868 
18, 0.34000, 0.12500, 0.00001, 0.34091, 0.11099, 0.09165 
19, 0.36000, 0.12500, 0.60710, 0.93651, 0.11468, 0.09431 
20, 0.38000, 0.12500, 0.17787, 0.49266, 0.11789, 0.09663 
21, 0.40000, 0.12500, 0.56469, 0.86095, 0.12067, 0.09867 
22, 0.42000, 0.12500, 0.33062, 0.60599, 0.12301, 0.10042 
23, 0.44000, 0.12500, 0.58658, 0.83811, 0.12496, 0.10193 
24, 0.46000, 0.12500, 0.47013, 0.69626, 0.12652, 0.10320 
25, 0.48000, 0.12500, 0.64745, 0.84626, 0.12773, 0.10427 
26, 0.50000, 0.12500, 0.60085, 0.77158, 0.12862, 0.10514 
27, 0.52000, 0.12500, 0.72976, 0.87146, 0.12921, 0.10585 
28, 0.54000, 0.12500, 0.72338, 0.83606, 0.12954, 0.10642 
29, 0.56000, 0.12500, 0.82119, 0.90479, 0.12963, 0.10685 
30, 0.58000, 0.12500, 0.83660, 0.89177, 0.12951, 0.10718 
31, 0.60000, 0.12500, 0.91317, 0.94060, 0.12921, 0.10741 
32, 0.62000, 0.12500, 0.93889, 0.93978, 0.12877, 0.10756 
33, 0.64000, 0.12500, 0.99984, 0.97544, 0.12820, 0.10765 
34, 0.66000, 0.12500, 1.02880, 0.98072, 0.12754, 0.10768 
35, 0.68000, 0.12500, 1.07742, 1.00731, 0.12680, 0.10768 
36, 0.70000, 0.12500, 1.10537, 1.01513, 0.12600, 0.10764 
37, 0.72000, 0.12500, 1.14369, 1.03521, 0.12517, 0.10758 
38, 0.74000, 0.12500, 1.16824, 1.04354, 0.12433, 0.10751 
39, 0.76000, 0.12500, 1.19769, 1.05877, 0.12349, 0.10743 
40, 0.78000, 0.12500, 1.21763, 1.06653, 0.12265, 0.10735 
41, 0.80000, 0.12500, 1.23936, 1.07805, 0.12185, 0.10727 
42, 0.82000, 0.12500, 1.25431, 1.08475, 0.12108, 0.10720 
43, 0.84000, 0.12500, 1.26936, 1.09339, 0.12036, 0.10714 
44, 0.86000, 0.12500, 1.27944, 1.09886, 0.11969, 0.10710 
45, 0.88000, 0.12500, 1.28879, 1.10524, 0.11908, 0.10706 
46, 0.90000, 0.12500, 1.29447, 1.10951, 0.11853, 0.10704 
47, 0.92000, 0.12500, 1.29909, 1.11415, 0.11805, 0.10704 
48, 0.94000, 0.12500, 1.30100, 1.11736, 0.11763, 0.10706 
49, 0.96000, 0.12500, 1.30184, 1.12066, 0.11727, 0.10709 
50, 0.98000, 0.12500, 1.30070, 1.12299, 0.11698, 0.10714 
51, 1.00000, 0.12500, 1.29865, 1.12528, 0.11676, 0.10721 
52, 1.02000, 0.12500, 1.29522, 1.12692, 0.11660, 0.10729 
53, 1.04000, 0.12500, 1.29110, 1.12849, 0.11649, 0.10739 
54, 1.06000, 0.12500, 1.28608, 1.12962, 0.11644, 0.10750 
55, 1.08000, 0.12500, 1.28063, 1.13068, 0.11645, 0.10762 
56, 1.10000, 0.12500, 1.27466, 1.13147, 0.11650, 0.10776 
57, 1.12000, 0.12500, 1.26850, 1.13221, 0.11659, 0.10790 
58, 1.14000, 0.12500, 1.26214, 1.13278, 0.11672, 0.10806 
59, 1.16000, 0.12500, 1.25580, 1.13333, 0.11689, 0.10822 
60, 1.18000, 0.12500, 1.24950, 1.13380, 0.11708, 0.10839 
61, 1.20000, 0.12500, 1.24340, 1.13427, 0.11731, 0.10857 
62, 1.22000, 0.12500, 1.23752, 1.13471, 0.11755, 0.10875 
63, 1.24000, 0.12500, 1.23196, 1.13518, 0.11781, 0.10894 
64, 1.26000, 0.12500, 1.22674, 1.13565, 0.11808, 0.10913 
65, 1.28000, 0.12500, 1.22194, 1.13616, 0.11836, 0.10933 
66, 1.30000, 0.12500, 1.21755, 1.13670, 0.11865, 0.10952 
67, 1.32000, 0.12500, 1.21363, 1.13729, 0.11894, 0.10972 
68, 1.34000, 0.12500, 1.21016, 1.13792, 0.11923, 0.10991 
69, 1.36000, 0.12500, 1.20717, 1.13861, 0.11952, 0.11011 
70, 1.38000, 0.12500, 1.20464, 1.13934, 0.11981, 0.11031 
71, 1.40000, 0.12500, 1.20257, 1.14013, 0.12008, 0.11050 
72, 1.42000, 0.12500, 1.20095, 1.14096, 0.12035, 0.11070 
73, 1.44000, 0.12500, 1.19974, 1.14184, 0.12061, 0.11089 
74, 1.46000, 0.12500, 1.19895, 1.14276, 0.12086, 0.11108 
75, 1.48000, 0.12500, 1.19852, 1.14373, 0.12109, 0.11127 
76, 1.50000, 0.12500, 1.19845, 1.14473, 0.12131, 0.11145 
77, 1.52000, 0.12500, 1.19870, 1.14577, 0.12152, 0.11163 
78, 1.54000, 0.12500, 1.19923, 1.14684, 0.12171, 0.11181 
79, 1.56000, 0.12500, 1.20003, 1.14794, 0.12190, 0.11199 
80, 1.58000, 0.12500, 1.20104, 1.14906, 0.12206, 0.11217 
81, 1.60000, 0.12500, 1.20226, 1.15021, 0.12222, 0.11234 
82, 1.62000, 0.12500, 1.20364, 1.15137, 0.12236, 0.11251 
83, 1.64000, 0.12500, 1.20515, 1.15254, 0.12249, 0.11267 
84, 1.66000, 0.12500, 1.20677, 1.15372, 0.12261, 0.11284 
85, 1.68000, 0.12500, 1.20847, 1.15491, 0.12271, 0.11300 
86, 1.70000, 0.12500, 1.21023, 1.15611, 0.12281, 0.11316 
87, 1.72000, 0.12500, 1.21202, 1.15730, 0.12289, 0.11331 
88, 1.74000, 0.12500, 1.21383, 1.15850, 0.12297, 0.11347 
89, 1.76000, 0.12500, 1.21563, 1.15969, 0.12304, 0.11362 
90, 1.78000, 0.12500, 1.21740, 1.16088, 0.12310, 0.11377 
91, 1.80000, 0.12500, 1.21914, 1.16206, 0.12315, 0.11391 
92, 1.82000, 0.12500, 1.22083, 1.16323, 0.12320, 0.11406 
93, 1.84000, 0.12500, 1.22245, 1.16439, 0.12324, 0.11420 
94, 1.86000, 0.12500, 1.22401, 1.16555, 0.12328, 0.11434 
95, 1.88000, 0.12500, 1.22549, 1.16669, 0.12331, 0.11448 
96, 1.90000, 0.12500, 1.22689, 1.16781, 0.12334, 0.11461 
97, 1.92000, 0.12500, 1.22820, 1.16893, 0.12337, 0.11475 
98, 1.94000, 0.12500, 1.22942, 1.17003, 0.12340, 0.11488 
99, 1.96000, 0.12500, 1.23055, 1.17111, 0.12342, 0.11501 
100, 1.98000, 0.12500, 1.23159, 1.17219, 0.12344, 0.11514 
101, 2.00000, 0.12500, 1.23255, 1.17324, 0.12346, 0.11527 
102, 2.02000, 0.12500, 1.23342, 1.17429, 0.12348, 0.11540 
103, 2.04000, 0.12500, 1.23420, 1.17532, 0.12350, 0.11552 
104, 2.06000, 0.12500, 1.23490, 1.17633, 0.12352, 0.11564 
105, 2.08000, 0.12500, 1.23553, 1.17733, 0.12354, 0.11577 
106, 2.10000, 0.12500, 1.23609, 1.17832, 0.12356, 0.11589 
107, 2.12000, 0.12500, 1.23658, 1.17929, 0.12359, 0.11601 
108, 2.14000, 0.12500, 1.23700, 1.18025, 0.12361, 0.11612 
109, 2.16000, 0.12500, 1.23737, 1.18119, 0.12363, 0.11624 
110, 2.18000, 0.12500, 1.23769, 1.18213, 0.12365, 0.11636 
111, 2.20000, 0.12500, 1.23797, 1.18305, 0.12368, 0.11647 
112, 2.22000, 0.12500, 1.23820, 1.18395, 0.12370, 0.11658 
113, 2.24000, 0.12500, 1.23839, 1.18485, 0.12373, 0.11669 
114, 2.26000, 0.12500, 1.23856, 1.18573, 0.12375, 0.11680 
115, 2.28000, 0.12500, 1.23870, 1.18660, 0.12378, 0.11691 
116, 2.30000, 0.12500, 1.23881, 1.18746, 0.12381, 0.11702 
117, 2.32000, 0.12500, 1.23891, 1.18831, 0.12383, 0.11713 
118, 2.34000, 0.12500, 1.23900, 1.18915, 0.12386, 0.11723 
119, 2.36000, 0.12500, 1.23907, 1.18998, 0.12389, 0.11734 
120, 2.38000, 0.12500, 1.23913, 1.19080, 0.12392, 0.11744 
121, 2.40000, 0.12500, 1.23919, 1.19161, 0.12395, 0.11754 
122, 2.42000, 0.12500, 1.23925, 1.19241, 0.12397, 0.11765 
123, 2.44000, 0.12500, 1.23931, 1.19320, 0.12400, 0.11775 
124, 2.46000, 0.12500, 1.23937, 1.19398, 0.12403, 0.11785 
125, 2.48000, 0.12500, 1.23943, 1.19475, 0.12406, 0.11794 
126, 2.50000, 0.12500, 1.23949, 1.19551, 0.12409, 0.11804 
127, 2.52000, 0.12500, 1.23956, 1.19627, 0.12411, 0.11814 
128, 2.54000, 0.12500, 1.23964, 1.19701, 0.12414, 0.11823 
129, 2.56000, 0.12500, 1.23972, 1.19775, 0.12417, 0.11833 
130, 2.58000, 0.12500, 1.23981, 1.19848, 0.12419, 0.11842 
131, 2.60000, 0.12500, 1.23991, 1.19920, 0.12422, 0.11851 
132, 2.62000, 0.12500, 1.24001, 1.19991, 0.12424, 0.11860 
133, 2.64000, 0.12500, 1.24012, 1.20062, 0.12427, 0.11869 
134, 2.66000, 0.12500, 1.24024, 1.20132, 0.12429, 0.11878 
135, 2.68000, 0.12500, 1.24036, 1.20201, 0.12431, 0.11887 
136, 2.70000, 0.12500, 1.24049, 1.20269, 0.12433, 0.11895 
137, 2.72000, 0.12500, 1.24062, 1.20336, 0.12435, 0.11904 
138, 2.74000, 0.12500, 1.24076, 1.20403, 0.12437, 0.11913 
139, 2.76000, 0.12500, 1.24090, 1.20469, 0.12439, 0.11921 
140, 2.78000, 0.12500, 1.24104, 1.20534, 0.12441, 0.11929 
141, 2.80000, 0.12500, 1.24119, 1.20599, 0.12443, 0.11938 
142, 2.82000, 0.12500, 1.24134, 1.20663, 0.12445, 0.11946 
143, 2.84000, 0.12500, 1.24149, 1.20726, 0.12446, 0.11954 
144, 2.86000, 0.12500, 1.24164, 1.20789, 0.12448, 0.11962 
145, 2.88000, 0.12500, 1.24178, 1.20851, 0.12450, 0.11970 
146, 2.90000, 0.12500, 1.24193, 1.20912, 0.12451, 0.11977 
147, 2.92000, 0.12500, 1.24208, 1.20972, 0.12452, 0.11985 
148, 2.94000, 0.12500, 1.24223, 1.21032, 0.12454, 0.11993 
149, 2.96000, 0.12500, 1.24237, 1.21091, 0.12455, 0.12000 
150, 2.98000, 0.12500, 1.24251, 1.21150, 0.12456, 0.12008 
151, 3.00000, 0.12500, 1.24265, 1.21207, 0.12458, 0.12015 
152, 3.02000, 0.12500, 1.24278, 1.21265, 0.12459, 0.12022 
153, 3.04000, 0.12500, 1.24291, 1.21321, 0.12460, 0.12029 
154, 3.06000, 0.12500, 1.24304, 1.21377, 0.12461, 0.12037 
155, 3.08000, 0.12500, 1.24316, 1.21433, 0.12462, 0.12044 
156, 3.10000, 0.12500, 1.24328, 1.21487, 0.12463, 0.12051 
157, 3.12000, 0.12500, 1.24339, 1.21541, 0.12464, 0.12057 
158, 3.14000, 0.12500, 1.24350, 1.21595, 0.12465, 0.12064 
159, 3.16000, 0.12500, 1.24361, 1.21648, 0.12466, 0.12071 
160, 3.18000, 0.12500, 1.24371, 1.21700, 0.12467, 0.12078 
161, 3.20000, 0.12500, 1.24381, 1.21752, 0.12468, 0.12084 
162, 3.22000, 0.12500, 1.24390, 1.21803, 0.12468, 0.12091 
163, 3.24000, 0.12500, 1.24399, 1.21854, 0.12469, 0.12097 
164, 3.26000, 0.12500, 1.24408, 1.21904, 0.12470, 0.12104 
165, 3.28000, 0.12500, 1.24416, 1.21953, 0.12471, 0.12110 
166, 3.30000, 0.12500, 1.24424, 1.22002, 0.12471, 0.12116 
167, 3.32000, 0.12500, 1.24431, 1.22050, 0.12472, 0.12122 
168, 3.34000, 0.12500, 1.24438, 1.22098, 0.12473, 0.12128 
169, 3.36000, 0.12500, 1.24445, 1.22146, 0.12474, 0.12134 
170, 3.38000, 0.12500, 1.24452, 1.22192, 0.12474, 0.12140 
171, 3.40000, 0.12500, 1.24458, 1.22239, 0.12475, 0.12146 
172, 3.42000, 0.12500, 1.24464, 1.22284, 0.12476, 0.12152 
173, 3.44000, 0.12500, 1.24470, 1.22330, 0.12476, 0.12158 
174, 3.46000, 0.12500, 1.24475, 1.22374, 0.12477, 0.12163 
175, 3.48000, 0.12500, 1.24480, 1.22418, 0.12477, 0.12169 
176, 3.50000, 0.12500, 1.24485, 1.22462, 0.12478, 0.12175 
